분류코드,카테고리
756,가구/인테리어>아동/주니어가구>소품가구
757,가구/인테리어>아동/주니어가구>아동침실세트
759,가구/인테리어>서재/사무용가구>책장
760,가구/인테리어>서재/사무용가구>책꽂이
762,스포츠/레저>탁구>기타탁구용품
764,스포츠/레저>배드민턴>배드민턴라켓
765,스포츠/레저>배드민턴>배드민턴화
766,스포츠/레저>배드민턴>배드민턴가방
767,스포츠/레저>배드민턴>셔틀콕
768,스포츠/레저>배드민턴>스트링
769,스포츠/레저>배드민턴>그립
770,스포츠/레저>배드민턴>배드민턴네트
771,스포츠/레저>배드민턴>연습용품
772,스포츠/레저>배드민턴>기타배드민턴용품
774,스포츠/레저>테니스>테니스라켓
775,스포츠/레저>테니스>테니스화
776,스포츠/레저>테니스>테니스공
777,스포츠/레저>테니스>테니스가방
778,스포츠/레저>테니스>그립
779,스포츠/레저>테니스>스트링
780,스포츠/레저>테니스>기타테니스용품
782,스포츠/레저>스쿼시>스쿼시라켓
